Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,569.940728793286,622.379654358451,690.842629014956,653.347488111011,633.947864294639,590.269515382605,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4094.35883191918,4437.8119990258,4247.83985201907,4412.34557813421,4588.64944014811,3965.01680558488,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,4473.48644568115,5447.40397556569,5583.61615950131,5491.6144135648,5484.0668056148,4206.03123244958,..
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,39639.386021211,41630.0525792977,39666.3692147448,42806.5224483021,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3886.47935432524,4744.98762949589,5086.8484258086,5327.14889219232,5232.69050054132,4102.11858969272,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13017.3103875487,12817.8415733094,13525.616220134,13342.0849977054,13432.0792079208,14128.8785463675,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10332.0323662966,12800.2018563295,13040.306395228,13027.2048221392,12324.9387857728,13431.8783398577,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3124.78401786195,3417.17183599915,3565.5175749254,3716.82892254464,3873.53356580682,3499.80421759862,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,24289.1415161326,25353.7875446441,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,61995.8296976,56327.7214484289,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,46659.8408181344,51123.5613291663,48324.2540367606,50557.8038059874,51148.3588760796,43438.8630381343,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,5842.80578358576,7189.69122920765,7393.77187697623,7811.6214184582,7886.45914367274,5496.34464026248,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,21920.5165867583,21514.8986531628,22112.6083547268,22315.6036533886,22217.4941392075,22896.9236868716,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,20386.0175551116,22238.7119502059,23063.1322870426,24378.9448284188,24855.2156350086,23395.7476902684,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,760.331935200195,838.547801702232,858.933362587621,954.396399715624,1086.80008676935,1211.70153057661,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,15901.4329353355,15530.8942915589,15317.1390013495,15153.8213753482,15366.2926106288,15660.6794152314,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5818.8548592158,6305.77366247653,6721.83490773968,7722.12335060436,8025.30435552468,5740.45649479562,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,44382.8797683492,47699.8070518961,44734.4523465803,46622.4679873931,47299.8601085612,40231.2831740081,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4344.13666906088,4516.23303047149,4673.55519784264,4723.59432062825,4884.3686203818,4906.9406908683,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,732.953622726674,799.03555913143,807.688451017232,882.638633279988,903.464924007693,779.067867757338,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,88207.3275597322,85973.158416455,85458.455507886,85748.0654143782,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2201.29307778936,2485.78705216849,2452.15158793741,2383.04472990264,2560.52213174131,2532.45446832741,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,1981.16010525701,2377.70068972888,2645.29027433174,2948.03291763073,3124.08076212353,3095.3596925636,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4475.08813004565,4860.78181134244,4494.64064038047,4748.04069226421,4851.66052786926,4197.80730449044,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,6244.00257387272,7504.85090744898,6885.82968106945,6806.67746673071,7153.44432535212,6360.64477568565,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,11121.4209541496,13039.1216499582,12157.3082176473,12071.7779871352,11728.7993875108,8538.5899749574,..
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31453.2243965354,41787.0214028978,41807.6533410575,39151.2342290391,40979.6419433378,36607.9278817468,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,6752.55217774882,7750.03988003072,7333.35507303945,7656.63850554922,7851.26542804234,6819.86910816324,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,574.458089293656,665.807446693793,673.026783425407,709.071247673448,713.456441626675,613.04190350453,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,214.230990840075,240.614483459126,244.19648623151,259.365208150184,286.002335872952,275.982345424148,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3393.92749190379,3766.11165442324,3497.69114086984,3623.22242981431,3641.10765586575,3131.13105247824,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,782.692789877004,879.15124409234,946.476678710416,1024.60886982001,1094.57668777899,1158.68990352486,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1147.2423467852,1258.92465066853,1222.19214220436,1331.20002144388,1407.40341322234,1250.77745553629,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,47445.7619347846,52083.8262233942,52495.2884719937,52266.1756761394,50185.4814970346,43248.529909341,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,446.800204552837,488.357342192885,472.818218057294,317.167370468595,351.994226017866,306.778752292853,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,895.877995851542,988.44315979422,972.679345110246,985.095322000684,1024.66835402191,775.695090525313,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,12785.0518749485,14582.1705198579,15253.3308268878,15764.7554534036,14566.1490549183,13383.8767996662,..
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,4514.94052013381,5574.18709336902,6264.64387793993,6991.85386564447,7587.28973166335,7924.65395661835,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6250.65449979147,7227.77082955644,7885.06129230214,8030.69086053799,7918.07890039352,6056.14771720405,..
